,Unnamed: 0,lang,sensitive,retweet,reply,likes,quote,created,text,id,author_id
2259,2259,en,False,0,0,0,0,2021-12-05T21:02:16.000Z,"Comrades, what are you reading/listening to? 

I just finished the first book in the Dune series, and here I am w/ Four Futures, not fiction novel, that seems like an unintentional prequel in a frighteningly predictive manner. https://t.co/opMCFwB8yD",1467600229742481409,1330588835038695424
8259,8259,en,False,0,1,3,0,2021-12-03T03:55:39.000Z,I was explaining to a friend how water is fatal to the sandworms in #Dune. He said that doesn't make a lot of sense because every living organism we know of requires water to survive. My response: https://t.co/LjPG4ZVCmU,1466617099485278211,1343679967616446468
8512,8512,en,False,0,0,5,0,2021-12-03T01:41:32.000Z,"Things that make my week. Yay for Caitríona! Also, don’t count out Rebecca yet. She was easily the best thing in Dune. https://t.co/rqr2TegLkf https://t.co/tCCg0Mv4Dk",1466583346281009153,186561339
3534,3534,en,False,0,0,4,0,2021-12-05T05:30:08.000Z,My goal is to finish #Dune this month. Should be easy. I only have 15 chapters left!,1467365651308322817,1193005530127708160
1159,1159,en,False,0,0,0,0,2021-12-06T10:59:26.000Z,What Accounts for the Lasting Appeal of Dune? https://t.co/7d2YPpLVYd via @lithub,1467810909439631361,224339210
694,694,en,False,0,0,0,0,2021-12-06T17:17:08.000Z,"I don't know if I'd go this far, but I'm not a fan of 2021 Dune. It's a combination of fantastic shots, borderline incoherent  plot, and a LOT of clunky exposition. (Yes, I've read the book). I was really looking forward to it. Sad to see it go the way of Bladerunner 2049 https://t.co/4uMMvBqbG2",1467905963378102275,1279515899712561153
2064,2064,en,False,0,0,3,0,2021-12-05T22:43:56.000Z,i would like to take this time to remind everybody that the lyrics to weapon of choice by fatboy slim (2001) are about paul atreides from dune,1467625818494947328,124116719
4544,4544,en,False,0,0,0,0,2021-12-04T20:15:47.000Z,I need Dune Part Two now. I think it may have ruined other movies for me. It makes Star Wars look like Flash Gordon https://t.co/ipXXEehA55,1467226143866515457,1452602083039866881
4172,4172,en,False,0,0,0,0,2021-12-04T23:33:46.000Z,"Movie Time: I am watching “Dune” (2021) in 4K Ultra HD Blu-ray. 🎥

Release Date: January 11, 2022. 😜

Movie Trailer: https://t.co/eDwHqLgzc0
Blu-ray: https://t.co/qUfpyARh28 https://t.co/YVwHTuUGkZ",1467275970776293376,1327436770103996416
2856,2856,en,False,0,2,1,0,2021-12-05T14:53:48.000Z,someone needs to stop me from going to see dune in theater for the fourth time,1467507505664200706,1276504653656539136
266,266,en,False,0,0,0,0,2021-12-06T21:38:19.000Z,"Dune (2021)

Believe the reviews; this is a fantastic movie. This only adapts the first half of the novel so we get to do it again in a couple of years. Pity they couldn’t have shot both parts back to back, but you know…$$$. https://t.co/pOCfYxEe3b",1467971691720724488,200912465
3290,3290,en,False,0,0,0,0,2021-12-05T08:26:03.000Z,i love boring movies boring like dune and spencer not boring like house of gucci,1467409923373944835,1238156211872284672
1595,1595,en,False,0,0,0,0,2021-12-06T03:47:36.000Z,"$SPY no buttery dick after seeing Dune and VIX is only down a couple percent. Disappointed. Not in Dune though, it ruled. ☑

#RecvProfit",1467702235119616003,1232331328072437765
534,534,en,False,1,1,7,0,2021-12-06T19:02:19.000Z,"""MY DUNE"" 
0,5 tez | 35 ed
(new price)

https://t.co/wiaGAJz26Z
https://t.co/ULMr7CwLKO

#NFTs #tezos #HEN #hicetnunc #hicetnunc2000 #NFTcollector #CleanNFT https://t.co/vyj0sI4q7W",1467932434482311175,1430866668012687367
4486,4486,en,False,0,1,6,0,2021-12-04T20:52:08.000Z,Dune time (again),1467235291635326986,2523836317
